user_id,role,department,plan,tenure_months,logins_last_30d,session_length_min,patients_documented,features_adopted,ttfv_days,support_tickets,nps_score,adopted_patient_timeline,adopted_e_prescribing,adopted_care_gap_alerts,adopted_secure_messaging,adopted_lab_viewer,adopted_referral_tracker,adopted_voice_notes,adopted_analytics_dashboard,depth_patient_timeline,depth_e_prescribing,depth_care_gap_alerts,depth_secure_messaging,depth_voice_notes,depth_analytics_dashboard,cohort_month,power_user
CF00021,Physician,Cardiology,Enterprise,2,23,14.5,77,6,4,1,26,1,1,1,1,1,0,0,1,5.4,6.0,7.0,7.7,0.0,4.8,2023-05-01,1
CF00022,Care Coordinator,Oncology,Professional,12,12,6.0,89,6,5,0,50,1,1,1,1,1,1,0,0,7.1,10.0,8.9,9.1,0.0,0.0,2023-05-31,1
CF00023,Physician,Emergency,Enterprise,8,18,6.5,7,5,3,0,47,1,1,0,1,1,0,0,1,7.6,4.2,0.0,5.5,0.0,7.0,2023-01-01,1
CF00024,Physician,Emergency,Professional,9,6,11.9,26,6,8,1,77,1,1,1,1,1,0,0,1,10.0,5.2,5.8,5.2,0.0,1.4,2023-05-01,1
CF00025,Nurse Practitioner,Oncology,Professional,5,3,17.0,42,4,2,0,75,1,0,1,1,0,0,1,0,9.5,0.0,10.0,1.8,8.3,0.0,2023-04-01,0
CF00026,Nurse Practitioner,Primary Care,Enterprise,7,13,25.4,80,6,14,0,25,1,1,0,1,1,1,0,1,6.6,7.8,0.0,5.7,0.0,0.7,2024-02-25,1
CF00027,Registered Nurse,Cardiology,Starter,3,8,11.1,26,4,15,1,43,1,1,1,1,0,0,0,0,9.4,5.2,4.8,5.7,0.0,0.0,2024-05-25,0
CF00028,Care Coordinator,Cardiology,Professional,36,7,15.2,54,5,5,0,57,0,1,1,1,0,1,1,0,0.0,4.4,5.8,3.8,6.6,0.0,2023-05-01,0
CF00029,Nurse Practitioner,Cardiology,Professional,15,6,20.1,31,4,1,1,37,1,1,0,0,0,1,1,0,9.4,4.5,0.0,0.0,4.2,0.0,2023-06-30,0
CF00030,Nurse Practitioner,Oncology,Starter,9,14,18.6,47,7,11,1,28,1,1,0,1,1,1,1,1,10.0,5.6,0.0,5.8,2.6,0.5,2023-01-01,1
CF00031,Physician,Pediatrics,Professional,10,10,15.5,21,5,1,1,52,1,1,0,1,1,1,0,0,2.0,3.3,0.0,10.0,0.0,0.0,2023-04-01,0
CF00032,Physician,Primary Care,Professional,5,6,15.9,63,4,2,0,48,1,0,0,1,1,1,0,0,3.9,0.0,0.0,8.2,0.0,0.0,2023-12-27,0
CF00033,Physician,Cardiology,Enterprise,9,29,29.2,0,5,1,1,29,1,1,1,0,1,0,1,0,4.4,9.7,5.6,0.0,4.6,0.0,2023-12-27,1
CF00034,Care Coordinator,Cardiology,Starter,8,12,12.2,0,5,5,1,40,1,1,0,1,1,0,1,0,4.0,6.3,0.0,6.4,7.6,0.0,2023-06-30,0
CF00035,Physician,Oncology,Professional,5,13,13.3,83,6,6,0,46,1,0,1,1,1,1,0,1,7.7,0.0,9.1,8.5,0.0,3.9,2023-05-31,1
CF00036,Nurse Practitioner,Pediatrics,Enterprise,5,21,8.7,59,7,1,1,69,1,1,1,1,1,0,1,1,8.0,6.4,8.8,9.6,2.9,7.9,2024-02-25,1
CF00037,Physician,Pediatrics,Professional,2,11,18.8,28,4,1,0,41,1,1,0,1,0,0,1,0,10.0,8.2,0.0,10.0,7.1,0.0,2024-02-25,1
CF00038,Registered Nurse,Oncology,Enterprise,3,25,16.7,101,7,5,2,25,1,1,1,1,1,1,0,1,10.0,4.6,5.7,5.7,0.0,3.0,2023-10-28,1
CF00039,Physician,Cardiology,Professional,5,7,27.4,67,4,3,1,45,1,0,0,1,1,1,0,0,8.1,0.0,0.0,9.2,0.0,0.0,2023-10-28,0
CF00040,Physician,Cardiology,Starter,36,5,12.2,59,4,4,1,49,1,1,1,1,0,0,0,0,6.8,4.7,9.7,6.3,0.0,0.0,2023-01-31,0
CF00041,Registered Nurse,Pediatrics,Starter,6,11,19.0,27,5,1,1,15,1,0,1,1,1,1,0,0,8.7,0.0,5.7,8.8,0.0,0.0,2023-03-02,0
CF00042,Nurse Practitioner,Primary Care,Starter,8,8,19.7,49,2,3,1,42,1,0,0,0,1,0,0,0,8.1,0.0,0.0,0.0,0.0,0.0,2023-08-29,0
CF00043,Registered Nurse,Primary Care,Professional,36,21,25.9,56,5,4,0,58,0,1,1,1,0,1,0,1,0.0,2.9,8.3,6.6,0.0,4.3,2024-03-26,1
CF00044,Care Coordinator,Primary Care,Starter,8,3,6.5,2,5,1,0,27,1,1,0,1,1,1,0,0,8.8,9.5,0.0,7.3,0.0,0.0,2024-03-26,0
CF00045,Care Coordinator,Emergency,Enterprise,6,14,27.4,68,7,8,0,27,1,1,0,1,1,1,1,1,6.4,3.8,0.0,5.3,7.8,5.7,2024-05-25,1
CF00046,Physician,Pediatrics,Enterprise,1,19,18.3,52,5,1,0,69,0,1,1,1,0,1,1,0,0.0,4.8,10.0,6.9,10.0,0.0,2023-07-30,1
CF00047,Nurse Practitioner,Pediatrics,Starter,1,14,13.6,62,5,4,0,86,1,1,0,1,0,1,1,0,6.7,2.9,0.0,7.4,4.3,0.0,2023-11-27,1
CF00048,Nurse Practitioner,Cardiology,Starter,2,16,12.4,63,4,6,2,82,1,0,0,1,1,1,0,0,5.6,0.0,0.0,1.9,0.0,0.0,2023-05-01,1
CF00049,Registered Nurse,Pediatrics,Starter,13,13,11.9,23,3,10,0,30,1,1,1,0,0,0,0,0,5.5,5.7,5.8,0.0,0.0,0.0,2023-10-28,0
CF00050,Nurse Practitioner,Primary Care,Enterprise,17,28,16.2,44,5,5,0,41,1,1,1,1,0,1,0,0,7.8,8.5,5.1,5.7,0.0,0.0,2023-09-28,1
CF00051,Nurse Practitioner,Pediatrics,Starter,26,9,1.0,40,2,15,0,14,0,0,0,1,0,0,1,0,0.0,0.0,0.0,9.0,5.0,0.0,2024-04-25,0
CF00052,Physician,Oncology,Professional,4,15,19.2,59,5,3,0,53,0,1,1,1,1,0,1,0,0.0,3.3,3.5,7.0,6.4,0.0,2024-04-25,1
CF00053,Nurse Practitioner,Emergency,Starter,26,16,14.6,28,3,1,1,34,1,0,0,1,1,0,0,0,10.0,0.0,0.0,6.4,0.0,0.0,2023-12-27,0
CF00054,Physician,Primary Care,Starter,5,10,8.6,34,7,4,1,32,1,1,1,1,1,1,0,1,10.0,10.0,4.6,4.6,0.0,2.2,2023-10-28,0
CF00055,Physician,Pediatrics,Starter,24,10,13.8,48,5,9,2,61,1,1,0,1,1,1,0,0,10.0,5.5,0.0,7.6,0.0,0.0,2024-02-25,0
CF00056,Registered Nurse,Cardiology,Professional,5,12,29.7,55,5,3,0,45,0,1,0,1,1,0,1,1,0.0,4.0,0.0,5.9,4.4,1.4,2023-05-31,1
CF00057,Nurse Practitioner,Cardiology,Starter,6,8,16.4,60,5,14,1,83,0,1,0,1,1,1,1,0,0.0,8.2,0.0,8.9,7.3,0.0,2023-06-30,0
CF00058,Registered Nurse,Pediatrics,Enterprise,4,12,15.9,61,3,15,1,53,1,1,0,0,1,0,0,0,5.3,6.0,0.0,0.0,0.0,0.0,2023-08-29,0
CF00059,Nurse Practitioner,Oncology,Professional,36,12,26.2,28,6,1,0,45,0,1,1,1,1,1,0,1,0.0,1.7,4.3,6.6,0.0,3.9,2023-12-27,1
CF00060,Care Coordinator,Primary Care,Starter,32,4,9.5,0,2,10,0,26,1,0,0,0,0,0,1,0,2.8,0.0,0.0,0.0,3.9,0.0,2023-09-28,0
CF00061,Care Coordinator,Cardiology,Starter,8,13,13.3,52,4,3,1,73,1,0,1,1,1,0,0,0,6.2,0.0,9.6,7.6,0.0,0.0,2023-06-30,0
CF00062,Care Coordinator,Cardiology,Professional,1,6,13.0,39,5,4,2,54,1,1,1,1,1,0,0,0,3.1,6.0,4.2,2.8,0.0,0.0,2024-04-25,0
CF00063,Physician,Primary Care,Professional,31,25,14.8,39,3,1,1,74,1,1,0,1,0,0,0,0,7.6,6.1,0.0,7.2,0.0,0.0,2023-01-01,0
CF00064,Nurse Practitioner,Oncology,Starter,11,20,18.5,30,5,1,1,26,1,0,0,1,1,1,1,0,7.7,0.0,0.0,6.3,7.3,0.0,2023-07-30,1
CF00065,Physician,Oncology,Starter,23,17,17.6,4,6,2,0,42,1,1,1,1,1,1,0,0,5.7,4.0,4.3,1.8,0.0,0.0,2023-01-01,1
CF00066,Nurse Practitioner,Emergency,Professional,2,13,11.9,38,3,1,1,65,1,1,1,0,0,0,0,0,6.0,2.6,7.3,0.0,0.0,0.0,2023-05-01,0
CF00067,Physician,Emergency,Enterprise,8,14,17.4,3,5,1,2,21,1,1,1,0,1,0,0,1,7.5,6.7,6.1,0.0,0.0,6.6,2024-02-25,1
CF00068,Registered Nurse,Primary Care,Professional,24,20,16.7,38,3,4,0,58,1,1,0,1,0,0,0,0,8.7,4.8,0.0,7.5,0.0,0.0,2024-01-26,0
CF00069,Physician,Emergency,Enterprise,7,18,15.8,38,8,3,0,70,1,1,1,1,1,1,1,1,6.8,6.7,6.2,5.7,6.7,7.2,2023-11-27,1
CF00070,Care Coordinator,Pediatrics,Professional,19,17,16.0,83,6,1,0,24,1,1,1,1,0,0,1,1,10.0,4.5,5.4,9.0,4.6,6.5,2023-10-28,1
CF00071,Physician,Primary Care,Professional,6,11,12.0,55,5,5,0,62,1,1,0,1,0,0,1,1,5.1,4.5,0.0,2.3,3.8,2.9,2023-10-28,1
CF00072,Registered Nurse,Emergency,Professional,9,20,11.9,41,6,1,1,32,1,1,0,1,1,1,1,0,5.8,2.8,0.0,10.0,4.6,0.0,2023-09-28,1
CF00073,Care Coordinator,Pediatrics,Professional,18,10,16.5,49,6,2,1,38,1,1,1,0,1,1,1,0,6.1,7.1,2.9,0.0,5.6,0.0,2024-01-26,1
CF00074,Physician,Cardiology,Professional,18,15,10.2,61,5,9,0,39,1,1,0,1,1,1,0,0,6.8,10.0,0.0,10.0,0.0,0.0,2024-05-25,0
CF00075,Registered Nurse,Cardiology,Professional,5,6,18.6,30,4,2,1,70,1,1,0,1,1,0,0,0,7.9,3.3,0.0,5.7,0.0,0.0,2023-11-27,0
CF00076,Registered Nurse,Oncology,Starter,5,8,13.1,31,5,2,1,26,1,0,1,1,1,0,0,1,8.4,0.0,3.2,5.2,0.0,2.9,2023-06-30,0
CF00077,Registered Nurse,Cardiology,Starter,7,14,8.8,29,2,2,0,33,1,0,0,0,0,1,0,0,6.2,0.0,0.0,0.0,0.0,0.0,2024-02-25,0
CF00078,Nurse Practitioner,Cardiology,Enterprise,12,15,14.6,107,5,3,1,64,1,1,1,0,1,0,1,0,10.0,5.2,6.2,0.0,7.6,0.0,2023-09-28,1
CF00079,Physician,Pediatrics,Starter,3,9,11.4,37,4,3,0,28,1,1,0,1,1,0,0,0,2.5,3.4,0.0,9.0,0.0,0.0,2023-01-01,0
CF00080,Physician,Emergency,Enterprise,34,21,17.3,16,6,2,1,76,1,1,0,1,1,1,0,1,8.3,8.1,0.0,8.9,0.0,8.6,2023-04-01,1
CF00081,Registered Nurse,Pediatrics,Enterprise,8,17,18.9,72,5,5,0,43,1,1,1,0,1,0,1,0,7.7,5.9,4.9,0.0,4.6,0.0,2023-05-31,1
CF00082,Nurse Practitioner,Emergency,Professional,13,20,15.0,99,5,9,0,43,1,0,0,1,1,0,1,1,4.0,0.0,0.0,6.2,7.9,2.2,2023-10-28,1
CF00083,Physician,Emergency,Starter,15,0,9.1,16,7,2,3,42,1,1,1,1,1,0,1,1,3.5,4.8,1.5,6.5,6.1,1.8,2023-06-30,0
CF00084,Registered Nurse,Emergency,Professional,22,17,24.6,117,7,1,1,54,1,1,1,1,1,1,1,0,7.6,10.0,1.9,10.0,4.0,0.0,2023-03-02,1
CF00085,Care Coordinator,Cardiology,Professional,16,17,21.5,45,6,2,0,54,1,1,1,1,0,1,1,0,10.0,2.3,2.1,6.6,7.4,0.0,2023-04-01,1
CF00086,Nurse Practitioner,Primary Care,Starter,1,4,14.8,56,5,3,0,78,1,0,1,1,0,0,1,1,8.0,0.0,2.7,9.1,3.4,6.8,2023-01-01,1
CF00087,Nurse Practitioner,Oncology,Enterprise,1,11,23.7,44,5,8,0,39,0,1,1,0,1,1,1,0,0.0,10.0,4.2,0.0,8.1,0.0,2023-11-27,0
CF00088,Nurse Practitioner,Pediatrics,Professional,9,19,18.1,40,3,4,1,70,1,0,0,1,0,1,0,0,6.5,0.0,0.0,4.6,0.0,0.0,2023-08-29,1
CF00089,Physician,Pediatrics,Starter,6,6,12.7,11,4,7,0,95,1,0,0,1,1,0,0,1,5.8,0.0,0.0,2.4,0.0,4.5,2024-03-26,0
CF00090,Physician,Emergency,Starter,22,8,14.7,14,3,1,0,53,1,0,1,1,0,0,0,0,6.0,0.0,4.9,7.1,0.0,0.0,2023-07-30,0
CF00091,Registered Nurse,Cardiology,Starter,3,14,29.7,0,3,1,0,46,1,1,0,1,0,0,0,0,8.5,6.4,0.0,7.7,0.0,0.0,2023-03-02,0
CF00092,Nurse Practitioner,Cardiology,Professional,6,13,22.0,69,7,3,1,47,1,1,1,1,1,1,1,0,9.9,8.4,7.2,7.3,0.3,0.0,2024-05-25,0
CF00093,Nurse Practitioner,Pediatrics,Enterprise,11,20,24.3,32,6,6,0,62,1,1,1,1,1,1,0,0,8.9,5.0,2.9,10.0,0.0,0.0,2024-04-25,1
CF00094,Physician,Oncology,Starter,28,7,11.9,43,5,3,1,57,0,1,0,1,1,1,0,1,0.0,6.1,0.0,8.3,0.0,4.5,2023-08-29,0
CF00095,Care Coordinator,Emergency,Starter,8,13,17.7,43,3,11,1,57,1,0,0,1,1,0,0,0,8.4,0.0,0.0,10.0,0.0,0.0,2023-01-01,0
CF00096,Physician,Cardiology,Professional,24,20,29.3,32,4,2,0,35,1,0,0,1,1,0,0,1,9.8,0.0,0.0,8.3,0.0,3.2,2023-12-27,1
CF00097,Nurse Practitioner,Oncology,Professional,1,16,18.7,47,6,10,1,70,1,1,1,1,0,1,1,0,2.8,7.6,4.2,4.4,3.9,0.0,2023-05-31,0
CF00098,Physician,Emergency,Professional,13,3,22.4,44,5,1,1,51,1,1,0,1,1,1,0,0,8.0,9.2,0.0,9.5,0.0,0.0,2023-07-30,0
CF00099,Physician,Pediatrics,Enterprise,7,20,25.5,46,6,2,5,28,1,1,0,1,1,1,0,1,6.2,3.9,0.0,4.2,0.0,3.4,2023-04-01,1
CF00100,Registered Nurse,Primary Care,Enterprise,5,18,21.9,57,3,14,3,18,0,0,0,1,0,0,1,1,0.0,0.0,0.0,6.5,4.9,3.2,2023-05-31,1
CF00101,Care Coordinator,Cardiology,Enterprise,9,13,27.4,57,6,2,0,73,1,1,1,1,1,0,0,1,4.4,7.8,6.3,3.7,0.0,4.7,2024-05-25,1
CF00102,Nurse Practitioner,Cardiology,Professional,12,21,17.5,25,4,1,2,48,1,0,0,1,1,1,0,0,4.7,0.0,0.0,9.0,0.0,0.0,2024-04-25,1
CF00103,Nurse Practitioner,Emergency,Starter,3,3,17.1,9,5,3,1,55,1,1,1,0,1,0,1,0,6.7,8.6,3.5,0.0,3.2,0.0,2024-02-25,1
CF00104,Registered Nurse,Emergency,Starter,6,21,10.5,18,4,4,2,12,1,1,0,0,1,1,0,0,5.6,9.1,0.0,0.0,0.0,0.0,2023-04-01,0
CF00105,Physician,Emergency,Professional,36,11,31.5,48,6,8,1,75,1,1,1,1,1,1,0,0,6.0,5.0,10.0,4.4,0.0,0.0,2023-08-29,1
CF00106,Nurse Practitioner,Emergency,Enterprise,10,25,19.9,84,5,4,2,48,1,0,1,0,1,1,0,1,5.4,0.0,5.3,0.0,0.0,5.9,2024-02-25,1
CF00107,Care Coordinator,Cardiology,Starter,1,11,14.8,66,5,1,1,8,1,1,1,1,1,0,0,0,8.0,4.5,10.0,1.7,0.0,0.0,2023-03-02,0
CF00108,Nurse Practitioner,Primary Care,Professional,6,8,24.3,52,5,7,1,30,1,1,0,0,0,1,1,1,9.8,6.1,0.0,0.0,5.6,5.2,2023-07-30,0
CF00109,Nurse Practitioner,Oncology,Starter,31,12,11.3,55,5,7,1,65,1,1,0,1,1,0,0,1,4.6,7.2,0.0,5.7,0.0,4.4,2023-03-02,1
CF00110,Care Coordinator,Primary Care,Professional,18,16,16.1,48,5,1,1,86,1,0,1,0,1,0,1,1,7.9,0.0,9.5,0.0,6.3,10.0,2023-01-31,1
CF00111,Registered Nurse,Emergency,Starter,2,14,9.6,58,6,9,2,46,1,0,1,1,1,1,0,1,5.9,0.0,6.0,0.6,0.0,3.0,2023-10-28,1
CF00112,Physician,Emergency,Starter,21,17,14.3,38,5,5,1,30,1,1,0,1,1,0,1,0,7.6,4.9,0.0,2.6,3.1,0.0,2023-11-27,1
CF00113,Registered Nurse,Oncology,Starter,5,7,11.9,44,4,3,1,74,1,0,0,1,0,1,1,0,9.6,0.0,0.0,7.0,5.8,0.0,2024-02-25,0
CF00114,Physician,Pediatrics,Starter,11,14,17.3,30,3,2,0,69,1,1,0,0,0,1,0,0,7.6,8.4,0.0,0.0,0.0,0.0,2023-03-02,0
CF00115,Care Coordinator,Primary Care,Professional,4,18,15.4,46,6,1,1,-3,1,1,1,1,1,1,0,0,6.9,4.9,2.4,6.5,0.0,0.0,2023-10-28,0
CF00116,Registered Nurse,Oncology,Professional,4,13,12.7,85,5,6,0,52,1,0,1,1,0,1,1,0,4.7,0.0,7.7,7.1,5.3,0.0,2023-01-31,1
CF00117,Physician,Pediatrics,Professional,30,10,14.5,21,5,8,2,62,1,1,0,1,0,1,0,1,10.0,10.0,0.0,8.3,0.0,1.2,2023-09-28,0
CF00118,Nurse Practitioner,Cardiology,Professional,20,9,15.5,46,6,7,2,47,1,1,1,0,1,0,1,1,10.0,5.3,3.8,0.0,10.0,7.0,2023-01-31,1
CF00119,Registered Nurse,Pediatrics,Enterprise,25,21,15.2,43,6,1,3,100,1,1,0,1,1,1,1,0,2.9,10.0,0.0,7.3,7.9,0.0,2024-01-26,1
CF00120,Physician,Primary Care,Starter,7,15,19.6,55,4,3,0,29,1,1,0,1,1,0,0,0,8.3,10.0,0.0,10.0,0.0,0.0,2023-04-01,1
CF00121,Care Coordinator,Primary Care,Enterprise,1,13,22.1,93,5,5,2,77,1,1,0,1,1,0,0,1,7.1,6.4,0.0,5.2,0.0,3.5,2024-03-26,1
CF00122,Care Coordinator,Cardiology,Starter,1,5,15.0,29,7,1,0,36,1,1,1,1,1,1,0,1,3.8,8.1,9.8,6.4,0.0,8.4,2023-03-02,1
CF00123,Nurse Practitioner,Pediatrics,Professional,4,20,9.3,0,6,4,0,54,1,1,1,1,0,1,0,1,10.0,1.0,2.8,9.7,0.0,7.2,2023-12-27,1
CF00124,Care Coordinator,Emergency,Enterprise,5,9,21.2,68,7,7,1,68,1,1,1,0,1,1,1,1,8.8,10.0,10.0,0.0,6.1,8.4,2023-07-30,1
CF00125,Physician,Oncology,Starter,7,12,6.7,48,3,8,0,61,0,0,1,1,0,0,0,1,0.0,0.0,2.9,7.9,0.0,2.4,2024-01-26,0
CF00126,Physician,Primary Care,Professional,6,10,17.2,11,4,5,1,32,1,1,0,1,1,0,0,0,5.3,8.6,0.0,0.0,0.0,0.0,2023-05-01,0
CF00127,Nurse Practitioner,Primary Care,Professional,14,5,16.4,41,5,1,0,77,1,1,1,1,0,0,0,1,6.1,7.0,6.8,2.5,0.0,2.5,2024-05-25,0
CF00128,Physician,Pediatrics,Starter,14,12,10.7,34,3,5,0,53,1,1,0,0,1,0,0,0,3.3,8.5,0.0,0.0,0.0,0.0,2023-11-27,0
CF00129,Physician,Pediatrics,Professional,3,13,11.3,0,4,6,0,87,1,1,0,0,0,1,1,0,7.4,9.3,0.0,0.0,1.4,0.0,2023-10-28,0
CF00130,Registered Nurse,Primary Care,Starter,8,18,10.1,50,4,10,0,12,0,1,0,0,1,1,0,1,0.0,7.9,0.0,0.0,0.0,6.5,2023-11-27,1
CF00131,Nurse Practitioner,Oncology,Starter,2,23,26.1,45,3,1,2,27,1,0,0,0,0,0,1,1,6.1,0.0,0.0,0.0,6.8,3.6,2023-11-27,1
CF00132,Physician,Oncology,Professional,4,13,14.6,51,4,7,0,60,1,1,0,0,1,0,1,0,10.0,6.1,0.0,0.0,4.2,0.0,2023-04-01,0
CF00133,Physician,Emergency,Enterprise,3,22,17.0,34,4,3,0,55,0,0,1,1,1,1,0,0,0.0,0.0,4.7,10.0,0.0,0.0,2024-05-25,1
CF00134,Registered Nurse,Primary Care,Enterprise,8,22,23.7,41,6,2,1,13,1,1,1,1,1,0,1,0,9.9,6.4,5.8,9.9,6.3,0.0,2024-05-25,1
CF00135,Nurse Practitioner,Pediatrics,Starter,18,9,16.6,23,5,8,1,10,1,1,1,1,0,0,0,1,7.2,4.0,4.4,5.9,0.0,0.0,2023-06-30,0
CF00136,Registered Nurse,Oncology,Starter,12,7,20.3,46,4,6,0,-2,1,1,1,0,1,0,0,0,8.8,2.9,5.9,0.0,0.0,0.0,2023-11-27,0
CF00137,Nurse Practitioner,Oncology,Professional,3,22,9.0,25,3,2,0,46,1,0,1,1,0,0,0,0,6.9,0.0,5.6,4.8,0.0,0.0,2024-05-25,1
CF00138,Nurse Practitioner,Cardiology,Professional,2,12,9.9,76,4,2,0,57,1,0,1,1,0,1,0,0,4.1,0.0,8.1,5.2,0.0,0.0,2023-06-30,0
CF00139,Registered Nurse,Primary Care,Starter,11,11,33.5,43,6,12,0,-31,1,0,1,1,1,1,1,0,8.1,0.0,4.8,4.5,3.6,0.0,2023-03-02,1
CF00140,Care Coordinator,Pediatrics,Professional,14,13,15.9,0,5,1,0,51,1,1,1,0,1,0,0,1,7.1,3.3,6.7,0.0,0.0,4.7,2023-06-30,1
CF00141,Nurse Practitioner,Pediatrics,Professional,3,14,14.5,80,5,4,1,69,1,1,0,1,0,0,1,1,5.3,3.1,0.0,5.3,3.0,6.6,2023-10-28,1
CF00142,Nurse Practitioner,Pediatrics,Professional,1,11,17.1,49,6,2,1,35,1,1,1,1,1,0,0,1,4.5,5.5,7.2,5.4,0.0,0.2,2024-05-25,1
CF00143,Registered Nurse,Emergency,Professional,1,18,21.9,34,3,1,1,36,1,1,1,0,0,0,0,0,10.0,5.9,10.0,0.0,0.0,0.0,2023-05-01,1
CF00144,Nurse Practitioner,Oncology,Professional,7,20,9.3,48,7,2,2,74,1,1,1,1,1,1,0,1,3.2,10.0,6.3,5.8,0.0,10.0,2023-06-30,1
CF00145,Registered Nurse,Pediatrics,Professional,3,12,17.8,8,5,30,0,-1,1,0,1,1,1,1,0,0,5.2,0.0,6.8,8.1,0.0,0.0,2023-11-27,0
CF00146,Physician,Primary Care,Enterprise,6,10,18.0,59,4,12,0,65,1,1,1,0,0,0,0,1,8.4,9.5,8.0,0.0,0.0,9.7,2023-05-31,0
CF00147,Nurse Practitioner,Cardiology,Enterprise,2,17,22.1,5,5,9,3,76,1,1,0,1,1,0,0,1,9.0,8.2,0.0,5.7,0.0,8.0,2023-01-31,1
CF00148,Nurse Practitioner,Oncology,Enterprise,11,10,19.2,34,4,1,1,58,0,0,1,0,1,1,0,1,0.0,0.0,8.4,0.0,0.0,8.1,2023-06-30,1
CF00149,Registered Nurse,Emergency,Enterprise,7,14,15.1,84,4,5,3,73,1,0,0,1,1,0,0,1,3.8,0.0,0.0,9.7,0.0,8.8,2024-05-25,1
CF00150,Physician,Cardiology,Starter,2,17,9.1,62,3,2,1,73,1,1,0,0,1,0,0,0,9.5,7.7,0.0,0.0,0.0,0.0,2023-07-30,0
